n_qubits,regime_label,noise_regime,gate_error,num_runs,valid_fraction,false_winner_rate,mean_filtered_exact_gap,std_filtered_exact_gap,mean_fidelity_to_exact,mean_symmetry_breaking_error,mean_measurement_total_standard_error,mean_estimated_total_shots_used,mean_transpiled_two_qubit_gate_count,mean_zne_mitigation_gain,dominant_energy_winner_ansatz,dominant_physics_winner_ansatz,dominant_budget_winner_ansatz,behavior_risk_score
4,near_critical,ideal,0.0,3,0.6666666666666666,0.0,1.4386563450624852,0.6471737940647306,0.5982230513009194,0.07657121483430385,,,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,1.6817652276101138
4,near_critical,low_noise,0.005,3,0.0,0.0,1.6501726674297117,0.7592931326235756,0.5237217815389308,0.18610458314424053,0.05498234345112565,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,2.12752869333407
4,near_critical,moderate_noise,0.01,3,0.0,0.0,1.9095303823197844,0.7191439941394908,0.44446734691222445,0.24642960957385227,0.05721115277949133,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,2.519730247957371
4,strong_field,ideal,0.0,3,0.6666666666666666,0.0,1.9347096369755192,0.9592425819551368,0.6223296612263395,0.08404077071566755,,,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,2.189819456162966
4,strong_field,low_noise,0.005,3,0.0,0.0,1.8341310446221017,0.6001092098365353,0.5808907578804232,0.18610458314424053,0.07489635973129154,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,2.312432154954623
4,strong_field,moderate_noise,0.01,3,0.0,0.0,2.4084766180015142,0.8211368837221654,0.495039343553821,0.23981277272143772,0.07888728132735678,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,2.9958131470673908
4,weak_field,ideal,0.0,3,0.6666666666666666,0.0,0.9736590215912818,0.380923130832019,0.5898687322444658,0.07657121483430375,,,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,1.1833690146565665
4,weak_field,low_noise,0.005,3,0.0,0.0,1.2374477768558239,0.5215890609837354,0.48301993729102854,0.18028449164624535,0.03893110977831825,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,1.6819389182665998
4,weak_field,moderate_noise,0.01,3,0.0,0.0,1.4325275933497577,0.5377614069300359,0.41039357533290405,0.2541501416183676,0.04093737001631675,65536.0,4.0,0.0,symmetry_preserving,symmetry_preserving,symmetry_preserving,2.028941815973835
6,near_critical,ideal,0.0,3,0.6666666666666666,1.0,4.022130476579125,1.0757388273254607,0.16927251139834237,0.1648577750383924,,,6.666666666666667,0.0,hardware_efficient,symmetry_preserving,symmetry_preserving,4.468269133874567
6,near_critical,low_noise,0.005,3,0.0,0.0,3.973592376100645,1.0438158763166123,0.18099681720919927,0.2674741506801694,0.06985917832400727,80554.66666666667,6.666666666666667,0.0,hardware_efficient,hardware_efficient,symmetry_preserving,4.6454006655299125
6,near_critical,moderate_noise,0.01,3,0.0,1.0,4.716825704862802,0.49967793463167837,0.0775120563746414,0.39740825452576084,0.06949462966460007,80554.66666666667,6.666666666666667,0.0,hardware_efficient,symmetry_preserving,symmetry_preserving,5.671813243760458
6,strong_field,ideal,0.0,3,0.6666666666666666,1.0,5.101912229077139,1.5475734800703456,0.195032006792891,0.14446475063566222,,,6.666666666666667,0.0,hardware_efficient,symmetry_preserving,symmetry_preserving,5.522986995577704
6,strong_field,low_noise,0.005,3,0.0,0.0,5.274003807830712,0.8350477265729694,0.1460311298391984,0.28177523088358813,0.08628160122936698,80554.66666666667,6.666666666666667,0.0,hardware_efficient,hardware_efficient,symmetry_preserving,6.012641930066286
6,strong_field,moderate_noise,0.01,3,0.0,0.0,5.9817166272767395,0.5539352760492182,0.10708763308466804,0.36091301917539276,0.0868081789639672,80554.66666666667,6.666666666666667,0.0,hardware_efficient,hardware_efficient,symmetry_preserving,6.879117088134922
6,weak_field,ideal,0.0,3,0.6666666666666666,1.0,3.0053719504542955,1.2176081822324003,0.18974389110894035,0.12762394468180283,,,6.666666666666667,0.0,hardware_efficient,symmetry_preserving,symmetry_preserving,3.342993729660155
6,weak_field,low_noise,0.005,3,0.0,0.0,3.3548695677421825,1.0842739929210778,0.13788291222234925,0.2676194928757126,0.05235653133820225,80554.66666666667,6.666666666666667,0.0,hardware_efficient,hardware_efficient,symmetry_preserving,4.000700715672567
6,weak_field,moderate_noise,0.01,3,0.0,0.0,3.5591921236134776,1.1350389351997168,0.12462174188585416,0.33001174459711863,0.05415171759541928,80554.66666666667,6.666666666666667,0.0,hardware_efficient,hardware_efficient,symmetry_preserving,4.332202583798322
